DATE,CPIAUCSL
2021-01-01,262.518
2021-02-01,263.583
2021-03-01,264.910
2021-04-01,266.752
2021-05-01,268.452
2021-06-01,270.664
2021-07-01,271.994
2021-08-01,272.789
2021-09-01,273.887
2021-10-01,276.434
2021-11-01,278.799
2021-12-01,280.808
2022-01-01,282.390
2022-02-01,284.535
2022-03-01,287.553
2022-04-01,288.764
2022-05-01,291.359
2022-06-01,294.996
2022-07-01,294.977
2022-08-01,295.209
2022-09-01,296.341
2022-10-01,297.863
2022-11-01,298.648
2022-12-01,298.812
2023-01-01,300.356
2023-02-01,301.509
2023-03-01,301.744
2023-04-01,303.032
2023-05-01,303.365
2023-06-01,304.003
2023-07-01,304.628
2023-08-01,306.187
2023-09-01,307.288
2023-10-01,307.531
2023-11-01,308.024
2023-12-01,308.742
2024-01-01,309.685
2024-02-01,311.054
2024-03-01,312.230
